ID_unique,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
1,141234,iPhone,1,700,01/22/19 21:25,"944 Walnut St, Boston, MA 02215"
2,141235,Lightning Charging Cable,1,14.95,01/28/19 14:15,"185 Maple St, Portland, OR 97035"
3,141236,Wired Headphones,2,11.99,01/17/19 13:33,"538 Adams St, San Francisco, CA 94016"
4,141237,27in FHD Monitor,1,149.99,01/05/19 20:33,"738 10th St, Los Angeles, CA 90001"
5,141238,Wired Headphones,1,11.99,01/25/19 11:59,"387 10th St, Austin, TX 73301"
6,141239,AAA Batteries (4-pack),1,2.99,01/29/19 20:22,"775 Willow St, San Francisco, CA 94016"
7,141240,27in 4K Gaming Monitor,1,389.99,01/26/19 12:16,"979 Park St, Los Angeles, CA 90001"
8,141241,USB-C Charging Cable,1,11.95,01/05/19 12:04,"181 6th St, San Francisco, CA 94016"
9,141242,Bose SoundSport Headphones,1,99.99,01/01/19 10:30,"867 Willow St, Los Angeles, CA 90001"
10,141243,Apple Airpods Headphones,1,150,01/22/19 21:20,"657 Johnson St, San Francisco, CA 94016"
11,141244,Apple Airpods Headphones,1,150,01/07/19 11:29,"492 Walnut St, San Francisco, CA 94016"
12,141245,Macbook Pro Laptop,1,1700,01/31/19 10:12,"322 6th St, San Francisco, CA 94016"
13,141246,AAA Batteries (4-pack),3,2.99,01/09/19 18:57,"618 7th St, Los Angeles, CA 90001"
14,141247,27in FHD Monitor,1,149.99,01/25/19 19:19,"512 Wilson St, San Francisco, CA 94016"
15,141248,Flatscreen TV,1,300,01/03/19 21:54,"363 Spruce St, Austin, TX 73301"
16,141249,27in FHD Monitor,1,149.99,01/05/19 17:20,"440 Cedar St, Portland, OR 97035"
17,141250,Vareebadd Phone,1,400,01/10/19 11:20,"471 Center St, Los Angeles, CA 90001"
18,141251,Apple Airpods Headphones,1,150,01/24/19 08:13,"414 Walnut St, Boston, MA 02215"
19,141252,USB-C Charging Cable,1,11.95,01/30/19 09:28,"220 9th St, Los Angeles, CA 90001"
20,141253,AA Batteries (4-pack),1,3.84,01/17/19 00:09,"385 11th St, Atlanta, GA 30301"
21,141254,AAA Batteries (4-pack),1,2.99,01/08/19 11:51,"238 Sunset St, Seattle, WA 98101"
22,141255,USB-C Charging Cable,1,11.95,01/09/19 20:55,"764 11th St, Los Angeles, CA 90001"
23,141256,Google Phone,1,600,01/29/19 10:40,"675 Washington St, Portland, OR 97035"
24,141257,Apple Airpods Headphones,1,150,01/12/19 18:51,"338 Highland St, San Francisco, CA 94016"
25,141258,AA Batteries (4-pack),1,3.84,01/19/19 21:47,"820 1st St, San Francisco, CA 94016"
26,141259,AAA Batteries (4-pack),2,2.99,01/20/19 17:26,"920 Adams St, San Francisco, CA 94016"
27,141260,AAA Batteries (4-pack),1,2.99,01/01/19 22:00,"293 Hill St, San Francisco, CA 94016"
28,141261,USB-C Charging Cable,1,11.95,01/09/19 18:14,"840 Lincoln St, Atlanta, GA 30301"
29,141262,AAA Batteries (4-pack),1,2.99,01/16/19 12:35,"291 Lincoln St, San Francisco, CA 94016"
30,141263,Bose SoundSport Headphones,1,99.99,01/11/19 23:33,"640 Spruce St, Boston, MA 02215"
31,141264,Apple Airpods Headphones,1,150,01/03/19 09:46,"937 Highland St, New York City, NY 10001"
32,141265,Apple Airpods Headphones,1,150,01/01/19 16:52,"853 Ridge St, Boston, MA 02215"
33,141266,27in 4K Gaming Monitor,1,389.99,01/02/19 22:21,"834 4th St, Dallas, TX 75001"
34,141267,Apple Airpods Headphones,1,150,01/09/19 08:28,"649 Sunset St, Los Angeles, CA 90001"
35,141268,AA Batteries (4-pack),1,3.84,01/14/19 10:13,"611 Elm St, New York City, NY 10001"
36,141269,27in 4K Gaming Monitor,1,389.99,01/03/19 20:05,"812 Jefferson St, Los Angeles, CA 90001"
37,141270,Wired Headphones,1,11.99,01/27/19 23:10,"469 Hill St, San Francisco, CA 94016"
38,141271,USB-C Charging Cable,1,11.95,01/30/19 10:51,"90 13th St, Boston, MA 02215"
39,141272,AAA Batteries (4-pack),1,2.99,01/12/19 13:09,"818 Lincoln St, New York City, NY 10001"
40,141273,Wired Headphones,2,11.99,01/29/19 12:04,"994 13th St, Boston, MA 02215"
41,141274,USB-C Charging Cable,1,11.95,01/17/19 11:30,"8 Jackson St, Los Angeles, CA 90001"
42,141275,USB-C Charging Cable,1,11.95,01/07/19 16:06,"610 Walnut St, Austin, TX 73301"
43,141275,Wired Headphones,1,11.99,01/07/19 16:06,"610 Walnut St, Austin, TX 73301"
44,141276,Lightning Charging Cable,1,14.95,01/21/19 22:23,"63 Cherry St, Los Angeles, CA 90001"
45,141277,Bose SoundSport Headphones,1,99.99,01/13/19 19:07,"370 Lakeview St, Austin, TX 73301"
46,141278,Lightning Charging Cable,1,14.95,01/26/19 12:14,"100 Cherry St, New York City, NY 10001"
47,141279,Lightning Charging Cable,1,14.95,01/03/19 19:10,"938 14th St, Boston, MA 02215"
48,141280,AAA Batteries (4-pack),1,2.99,01/20/19 16:10,"530 7th St, Los Angeles, CA 90001"
49,141281,Lightning Charging Cable,1,14.95,01/05/19 16:51,"274 2nd St, Atlanta, GA 30301"
50,141282,Vareebadd Phone,1,400,01/11/19 18:10,"125 Center St, New York City, NY 10001"
51,141283,Flatscreen TV,1,300,01/02/19 16:16,"68 Hickory St, Seattle, WA 98101"
52,141284,Wired Headphones,1,11.99,01/29/19 18:30,"462 1st St, Los Angeles, CA 90001"
53,141285,AAA Batteries (4-pack),3,2.99,01/14/19 14:13,"447 Cedar St, Seattle, WA 98101"
54,141286,27in 4K Gaming Monitor,1,389.99,01/02/19 20:33,"505 Hickory St, Dallas, TX 75001"
55,141287,Bose SoundSport Headphones,1,99.99,01/31/19 08:38,"386 Elm St, San Francisco, CA 94016"
